Species,Species_Abbreviation,TaxonomicGroup,PrevalenceChange,NRB_T1,NRB_T2,NRBShift_Raw,NRBShift,PhenologyShift,Pvalue_Phenology,SE_PhenologyShift,PopulationTrend,P_PopulatioTrend,NRB_Shift_Scaled,Phenology_Shift_Scaled,PopulationTrend_Scaled,PhenologyCategory,NRB_Category,PopualtionTrend_Category,response,hypo,HostUse,Voltinism,OverwinteringStage,BodySize,HU,volti,univolt_dummy,specialist_dummy,generalist_dummy,lf_dummy,adult_dummy,larva_dummy,pupa_dummy,North_dummy,South_dummy,Advance_dummy,Delay_dummy,NorthAdvance_dummy,SouthAdvance_dummy,NorthDelay_dummy,Hypo1_dummy,Hypo2_dummy
Pararge petropolitana,Las.petr,Butterfly,-461,740.3,733.8,-65,-18.99842373,0.167101362,0.150899685,0.116210199,-0.068462653,1.92E-07,-0.132924289,0.552559351,-1.358240233,STAB,STAB,NEG,DELCONTR,zero,polyphagous,1,larva,37.5,generalist,semi and uni,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Coenonympha pamphilus,Coe.pamp,Butterfly,-501,742.8,732.8,-100,-48.88048227,0.296240847,0.022350861,0.129128731,-0.062406214,1.84E-06,-0.341996971,0.979588963,-1.238085685,DEL,CONTR,NEG,DELCONTR,zero,polyphagous,2,larva,28.5,generalist,multi,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
Coenonympha glycerion,Coe.glyc,Butterfly,-115,704.4,696,-84,-82.26861729,0.284888915,2.23E-19,0.031489063,-0.021006217,0.027154055,-0.575600253,0.942051174,-0.416745303,DEL,CONTR,NEG,DELCONTR,zero,polyphagous,1,larva,30.2,generalist,semi and uni,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
Aphantopus hyperantus,Aph.hype,Butterfly,724,721,726.1,51,-54.61743925,0.119154562,8.27E-27,0.011102622,-0.004379767,0.363387764,-0.38213614,0.394012152,-0.086890815,DEL,CONTR,STAB,DELCONTR,zero,polyphagous,1,larva,38.9,generalist,semi and uni,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
Erebia ligea,Ere.lige,Butterfly,-111,752.8,752.7,-1,0.219588568,0.288466762,3.34E-27,0.02658964,-0.009721181,0.654777942,0.001536372,0.953882152,-0.192859881,DEL,STAB,STAB,DELCONTR,zero,polyphagous,0,larva,41.4,generalist,semi and uni,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
Euphydryas maturna,Eup.matu,Butterfly,-155,698.8,696.9,-19,-12.15067583,0.825896307,9.73E-07,0.166768371,0.017856087,0.213855835,-0.085013366,2.731017402,0.354249429,DEL,STAB,STAB,DELCONTR,zero,oligophagous,1,larva,41.8,specialist,semi and uni,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Melitaea athalia,Mel.atha,Butterfly,-192,771.5,722.1,-494,-482.41658,0.423248139,2.65E-10,0.066706164,0.026459751,0.011319236,-3.375273762,1.399567989,0.524938733,DEL,CONTR,POS,DELCONTR,zero,oligophagous,1,larva,35.3,specialist,semi and uni,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
Araschnia levana,Ara.leva,Butterfly,1066,695,728,330,180.6241613,-0.161888652,0.436700414,0.208112989,0.122353665,6.90E-07,1.263754228,-0.535322317,2.427391624,STAB,EXP,POS,DELEXP,one,monophagous,3,pupa,35.1,specialist,multi,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0
Vanessa atalanta,Van.atal,Butterfly,1617,730.5,729.5,-10,-229.8754822,-0.00762991,0.952049846,0.126858247,0.004980376,0.711078771,-1.608345807,-0.025230066,0.098806382,STAB,CONTR,STAB,DELCONTR,zero,monophagous,3,adult,59.2,specialist,multi,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Vanessa cardui,Van.card,Butterfly,-99,768.3,765.2,-31,-31.31579387,-0.734675365,9.52E-05,0.187831335,-0.009854402,0.775554639,-0.219103948,-2.42937423,-0.195502872,ADV,CONTR,STAB,ADVCONTR,one,oligophagous,2,adult,53.5,specialist,multi,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0
